COMBINATIONS,DRAW DATE 
2-8-5-0,10/10/2022
0-1-3-7,10/12/2022
6-9-4-9,10/14/2022
1-9-6-8,10/17/2022
8-8-3-9,10/19/2022
9-7-7-5,10/21/2022
5-2-8-3,10/24/2022
0-3-6-4,10/26/2022
9-4-1-6,10/28/2022
8-4-1-0,10/31/2022
5-8-7-0,11/02/2022
4-1-8-9,11/04/2022
9-6-5-3,11/07/2022
9-6-0-8,11/09/2022
0-1-9-4,11/11/2022
4-0-6-5,11/14/2022
6-3-1-7,11/16/2022
9-8-1-8,11/18/2022
5-5-6-3,11/21/2022
9-0-6-3,11/23/2022
7-0-2-6,11/25/2022
5-7-3-7,11/28/2022
8-8-2-1,11/30/2022
8-2-0-2,12/02/2022
2-5-9-5,12/05/2022
2-7-9-8,12/07/2022
7-7-9-0,12/09/2022
8-6-1-7,12/12/2022
2-1-3-2,12/14/2022
9-9-0-0,12/16/2022
3-9-4-4,12/19/2022
0-8-6-4,12/21/2022
8-3-4-4,12/23/2022
3-2-1-3,12/26/2022
7-8-6-1,12/28/2022
1-6-6-2,12/30/2022
9-3-8-9,01/02/2023
4-2-9-0,01/04/2023
4-1-9-3,01/06/2023
9-6-2-4,01/09/2023
5-9-4-7,01/11/2023
7-0-5-7,1/13/2023
4-7-4-7,1/16/2023
5-3-7-0,1/18/2023
0-9-3-2,1/20/2023
4-1-4-3,1/23/2023
1-0-3-0,1/25/2023
2-5-3-7,1/27/2023
2-0-9-2,1/30/2023
6-0-1-2,02/01/2023
0-9-9-1,02/03/2023
0-4-0-0,02/06/2023
2-9-7-6,02/08/2023
2-4-8-3,02/10/2023
2-9-1-2,2/13/2023
3-6-5-2,2/15/2023
2-2-6-4,2/17/2023
9-8-6-8,2/20/2023
4-3-6-8,2/22/2023
5-7-9-9,2/24/2023
3-9-1-2,2/27/2023
1-2-7-9,03/01/2023
4-0-4-0,03/03/2023
4-6-6-1,03/06/2023
5-0-4-2,03/08/2023
4-0-9-0,03/10/2023
7-7-0-4,3/13/2023
7-6-6-0,3/15/2023
7-0-8-2,3/17/2023
8-3-2-6,3/20/2023
5-9-1-3,3/22/2023
9-1-9-9,3/24/2023
7-3-4-5,3/27/2023
8-9-6-6,3/29/2023
6-4-5-1,3/31/2023
3-0-1-2,04/03/2023
7-3-1-4,04/05/2023
8-2-7-1,04/10/2023
5-6-6-3,04/12/2023
0-5-7-1,4/14/2023
7-5-6-9,4/17/2023
3-2-4-1,4/19/2023
7-8-8-2,4/21/2023
6-0-8-1,4/24/2023
2-0-2-0,4/26/2023
1-3-3-2,4/28/2023
5-0-9-2,05/01/2023
3-8-7-8,05/03/2023
7-4-9-2,05/05/2023
9-2-3-4,05/08/2023
9-8-6-1,05/10/2023
8-9-3-7,05/12/2023
3-3-3-9,5/15/2023
2-1-6-9,5/17/2023
0-4-3-8,5/19/2023
5-8-1-5,5/22/2023
1-6-4-1,5/24/2023
2-8-6-0,5/26/2023
1-9-0-3,5/29/2023
1-1-3-7,5/31/2023
7-3-6-8,06/02/2023
0-7-4-2,06/05/2023
8-7-1-6,06/07/2023
1-6-5-2,06/09/2023
0-8-9-7,06/12/2023
2-2-3-3,6/14/2023
1-8-6-3,6/16/2023
9-4-3-3,6/19/2023
3-7-8-8,6/21/2023
4-6-6-0,6/23/2023
2-1-8-4,6/26/2023
9-9-0-4,6/28/2023
5-5-2-0,6/30/2023
7-9-1-0,07/03/2023
0-9-8-5,07/05/2023
8-2-0-3,07/07/2023
3-9-8-6,07/10/2023
6-0-6-0,07/12/2023
0-5-0-3,7/14/2023
1-8-7-2,7/17/2023
6-1-4-9,7/19/2023
2-5-1-8,7/21/2023
8-9-1-0,7/24/2023
9-2-7-6,7/26/2023
0-2-8-0,7/28/2023
9-6-2-8,7/31/2023
4-3-3-9,08/02/2023
8-2-5-5,08/04/2023
5-1-0-6,08/07/2023
8-3-8-0,08/09/2023
9-6-8-8,08/11/2023
0-4-6-9,8/14/2023
1-4-9-5,8/16/2023
0-8-3-9,8/18/2023
8-9-2-7,8/21/2023
0-1-9-6,8/23/2023
4-9-9-8,8/25/2023
4-8-7-0,8/28/2023
3-8-4-7,8/30/2023
0-5-9-4,09/01/2023
4-8-6-0,09/04/2023
1-4-8-7,09/06/2023
6-1-6-8,09/08/2023
3-5-3-4,09/11/2023
3-9-4-7,9/13/2023
9-5-1-4,9/15/2023
1-4-5-0,9/18/2023
9-9-0-5,9/20/2023
5-7-4-0,9/22/2023
8-0-8-7,9/25/2023
2-9-2-8,9/27/2023
7-5-0-3,9/29/2023
2-2-7-0,10/02/2023
3-5-3-4,10/04/2023
3-1-7-4,10/06/2023
6-6-3-0,10/09/2023
0-5-7-7,10/11/2023
5-2-9-0,10/13/2023
5-8-3-1,10/16/2023
3-7-5-3,10/18/2023
5-4-6-1,10/20/2023
0-1-5-3,10/23/2023
9-3-1-8,10/25/2023
3-5-7-7,10/27/2023
6-2-3-0,10/30/2023
4-5-1-5,11/01/2023
8-2-3-4,11/03/2023
2-5-6-9,11/06/2023
0-2-6-6,11/08/2023
1-5-2-4,11/10/2023
0-7-2-2,11/13/2023
3-5-0-3,11/15/2023
6-1-1-1,11/17/2023
8-5-9-5,11/20/2023
9-5-9-5,11/22/2023
8-0-7-8,11/24/2023
8-6-7-5,11/27/2023
1-4-3-0,11/29/2023
2-9-4-3,12/01/2023
2-3-2-2,12/04/2023
2-0-5-7,12/06/2023
9-6-6-4,12/08/2023
8-8-7-7,12/11/2023
3-5-4-2,12/13/2023
6-3-9-6,12/15/2023
2-9-9-6,12/18/2023
8-5-7-1,12/20/2023
1-3-6-6,12/22/2023
9-7-0-3,12/27/2023
3-7-4-5,12/29/2023
1-1-3-9,01/03/2024
6-3-4-4,01/05/2024
0-7-7-2,01/08/2024
0-9-3-1,01/10/2024
2-7-3-8,01/12/2024
0-0-5-3,1/15/2024
2-5-6-8,1/17/2024
3-4-1-9,1/19/2024
7-4-6-6,1/22/2024
5-9-9-2,1/24/2024
6-8-5-4,1/26/2024
6-7-7-3,1/29/2024
9-9-8-8,1/31/2024
3-9-8-7,02/02/2024
8-8-5-2,02/05/2024
9-6-2-3,02/07/2024
7-7-0-4,02/09/2024
6-8-0-4,02/12/2024
1-9-9-8,2/14/2024
4-9-2-4,2/16/2024
3-4-6-0,2/19/2024
2-0-7-6,2/21/2024
0-1-6-2,2/23/2024
0-7-1-2,2/26/2024
7-3-2-5,2/28/2024
3-1-7-5,03/01/2024
3-1-4-6,03/04/2024
2-7-2-2,03/06/2024
1-2-8-9,03/08/2024
7-9-8-9,03/11/2024
6-4-4-1,3/13/2024
9-0-6-1,3/15/2024
1-1-9-1,3/18/2024
3-1-1-9,3/20/2024
4-9-5-3,3/22/2024
4-9-6-8,3/25/2024
6-4-1-3,3/27/2024
7-6-5-4,04/01/2024
2-1-1-7,04/03/2024
2-7-5-9,04/05/2024
9-4-0-4,04/08/2024
5-0-6-4,04/10/2024
9-8-1-9,04/12/2024
7-1-9-1,4/15/2024
7-1-8-1,4/17/2024
7-3-5-1,4/19/2024
1-5-1-7,4/22/2024
4-4-0-0,4/24/2024
7-4-1-5,4/26/2024
5-7-3-0,4/29/2024
9-4-4-9,05/01/2024
6-5-8-1,05/03/2024
6-4-2-3,05/06/2024
5-8-4-1,05/08/2024
8-5-5-8,05/10/2024
3-8-9-0,5/13/2024
9-6-1-1,5/15/2024
0-7-0-3,5/17/2024
2-2-4-0,5/20/2024
9-6-5-7,5/22/2024
8-0-3-3,5/24/2024
2-4-8-2,5/27/2024
1-1-6-9,5/29/2024
3-9-7-9,5/31/2024
0-4-8-2,06/03/2024
1-2-9-1,06/05/2024
8-6-5-2,06/07/2024
5-8-5-6,06/10/2024
2-6-6-9,06/12/2024
7-3-6-7,6/14/2024
2-4-2-7,6/17/2024
2-8-0-6,6/19/2024
3-5-6-0,6/21/2024
8-8-2-1,6/24/2024
6-7-3-7,6/26/2024
0-8-7-5,6/28/2024
9-0-3-8,07/01/2024
3-8-3-4,07/03/2024
9-3-0-3,07/05/2024
3-3-8-4,07/08/2024
3-5-4-8,07/10/2024
9-6-7-5,07/12/2024
0-8-3-5,7/15/2024
1-0-5-3,7/17/2024
5-2-2-8,7/19/2024
3-6-3-8,7/22/2024
2-1-4-8,7/24/2024
5-1-4-6,7/26/2024
4-0-1-6,7/29/2024
8-1-5-8,7/31/2024
5-9-2-5,08/02/2024
6-9-7-6,08/05/2024
8-3-2-2,08/07/2024
2-0-3-3,08/09/2024
6-2-8-4,08/12/2024
0-2-8-9,8/14/2024
7-0-1-2,8/16/2024
2-0-6-4,8/19/2024
3-4-7-3,8/21/2024
7-5-2-2,8/23/2024
8-3-8-3,8/26/2024
1-1-5-0,8/28/2024
3-8-2-0,8/30/2024
9-8-5-8,09/02/2024
0-8-0-2,09/04/2024
7-4-5-0,09/06/2024
6-6-9-3,09/09/2024
5-1-6-0,09/11/2024
5-1-3-8,9/13/2024
4-7-6-2,9/16/2024
1-9-2-6,9/18/2024
7-3-5-2,9/20/2024
9-5-0-2,9/23/2024
4-4-5-1,9/25/2024
6-8-5-2,9/27/2024
5-0-3-9,9/30/2024
8-4-0-3,10/02/2024
9-0-3-0,10/04/2024
5-7-2-2,10/07/2024
3-7-7-1,10/09/2024
1-6-3-7,10/11/2024
6-8-5-9,10/14/2024
3-1-2-1,10/16/2024
0-4-6-3,10/18/2024
4-1-4-2,10/21/2024
4-9-8-8,10/23/2024
9-2-8-0,10/25/2024
4-4-9-8,10/28/2024
3-3-1-8,10/30/2024
9-5-2-8,11/01/2024
0-4-2-1,11/04/2024
9-9-6-8,11/06/2024
4-6-7-5,11/08/2024
5-5-1-7,11/11/2024
5-6-4-4,11/13/2024
8-4-2-4,11/15/2024
3-1-5-4,11/18/2024
5-0-7-2,11/20/2024
4-7-5-2,11/22/2024
3-2-5-2,11/25/2024
4-2-7-1,11/27/2024
3-3-0-4,11/29/2024
1-3-7-8,12/02/2024
1-0-4-6,12/04/2024
0-0-2-8,12/06/2024
4-1-0-3,12/09/2024
3-1-0-5,12/11/2024
8-2-0-7,12/13/2024
7-4-3-4,12/16/2024
9-2-0-0,12/18/2024
4-3-6-5,12/20/2024
6-9-8-5,12/23/2024
3-5-7-7,12/25/2024
7-9-9-6,12/27/2024
6-0-1-2,12/30/2024
9-1-6-5,01/01/2025
3-7-1-9,01/03/2025
0-5-6-5,01/06/2025
5-7-4-6,01/08/2025
8-8-5-5,01/10/2025
2-4-7-1,1/13/2025
4-4-5-2,1/15/2025
4-6-5-2,1/17/2025
8-3-1-7,1/20/2025
8-4-0-2,1/22/2025
5-0-0-7,1/24/2025
5-6-2-1,1/27/2025
5-9-2-3,1/29/2025
0-2-3-6,1/31/2025
1-9-7-1,02/03/2025
7-3-2-4,02/05/2025
1-7-8-9,02/07/2025
6-9-2-3,02/10/2025
4-3-3-5,02/12/2025
1-0-3-1,2/14/2025
7-6-1-7,2/17/2025
5-1-9-6,2/19/2025
0-6-9-3,2/21/2025
1-1-4-6,2/24/2025
2-5-1-7,2/26/2025
2-3-1-7,2/28/2025
5-6-3-6,03/03/2025
1-4-9-4,03/05/2025
7-8-1-0,03/07/2025
1-9-4-8,03/10/2025
8-4-1-7,03/12/2025
7-1-8-7,3/14/2025
8-7-7-8,3/17/2025
0-2-6-8,3/19/2025
1-5-0-2,3/21/2025
9-9-5-8,3/24/2025
0-8-7-7,3/26/2025
5-3-0-6,3/28/2025
5-9-4-1,3/31/2025
9-8-2-1,04/02/2025
2-2-4-9,04/04/2025
5-1-6-5,04/07/2025
9-8-3-9,04/09/2025
4-4-7-7,04/11/2025
3-7-2-4,4/14/2025
7-1-5-4,4/16/2025
9-6-3-9,4/21/2025
1-0-6-6,4/23/2025
6-7-3-7,4/25/2025
4-7-9-2,4/28/2025
4-4-5-6,4/30/2025
6-6-9-8,05/02/2025
0-6-5-4,05/05/2025
0-2-3-1,05/07/2025
4-2-4-7,05/09/2025
6-9-5-0,05/12/2025
6-4-4-8,5/14/2025
7-6-2-5,5/16/2025
6-7-7-9,5/19/2025
3-1-0-9,5/21/2025
3-6-2-9,5/23/2025
0-0-9-2,5/26/2025
8-7-9-2,5/28/2025
5-5-9-6,5/30/2025
5-2-7-1,06/02/2025
5-2-3-6,06/04/2025
5-0-3-7,06/06/2025
8-0-8-9,06/09/2025
3-4-8-3,06/11/2025
4-3-1-1,6/13/2025
2-0-0-8,6/16/2025
5-8-4-5,6/18/2025
7-9-4-4,6/20/2025
7-0-7-8,6/23/2025
9-7-0-5,6/25/2025
8-7-0-4,6/27/2025
6-2-9-6,6/30/2025
8-2-2-3,07/02/2025
9-2-5-6,07/04/2025
1-7-8-4,07/07/2025
8-0-2-6,07/09/2025
6-1-1-1,07/11/2025
0-6-3-7,7/14/2025
0-9-5-2,7/16/2025
2-9-7-2,7/18/2025
7-1-7-8,7/21/2025
1-4-2-9,7/23/2025
6-6-7-5,7/25/2025
4-8-4-2,7/28/2025
8-6-7-3,7/30/2025
4-9-3-7,08/01/2025
5-4-4-5,08/04/2025
2-6-5-4,08/06/2025
9-5-7-4,08/08/2025
7-0-7-5,08/11/2025
6-9-3-0,8/13/2025
2-4-5-1,8/15/2025
0-4-1-7,8/18/2025
6-5-6-4,8/20/2025
7-6-8-9,8/22/2025
8-8-3-8,8/25/2025
1-7-7-1,8/27/2025
4-7-6-1,8/29/2025
9-5-1-2,09/01/2025
7-4-5-7,09/03/2025
7-0-3-7,09/05/2025
5-8-2-0,09/08/2025
1-5-7-8,09/10/2025
4-7-9-4,09/12/2025
5-1-9-7,9/15/2025
9-7-3-8,9/17/2025
2-4-0-1,9/19/2025
5-1-3-5,9/22/2025
7-5-9-3,9/24/2025
0-2-7-4,9/26/2025
9-1-2-5,9/29/2025
8-9-0-7,10/01/2025
3-8-6-2,10/03/2025
3-7-6-8,10/06/2025
5-2-0-7,10/08/2025
3-3-1-1,10/10/2025
5-8-5-6,10/13/2025
2-4-2-7,10/15/2025
1-2-2-9,10/17/2025
2-7-3-1,10/20/2025
4-9-9-7,10/22/2025
8-2-6-4,10/24/2025
2-6-6-9,10/27/2025
4-1-9-5,10/29/2025
7-8-5-1,10/31/2025
6-6-3-5,11/03/2025
0-0-0-5,11/05/2025
6-8-9-1,11/07/2025
8-4-8-0,11/10/2025
3-3-7-9,11/12/2025
8-5-1-7,11/14/2025
0-3-8-8,11/17/2025
2-7-2-1,11/19/2025
9-0-2-8,11/21/2025
0-2-8-1,11/24/2025
2-8-0-4,11/26/2025
8-5-8-5,11/28/2025
8-3-3-6,12/01/2025
8-3-4-7,12/03/2025
5-1-7-5,12/05/2025
6-0-5-7,12/08/2025
8-2-8-7,12/10/2025
2-4-2-1,12/12/2025
6-8-0-7,12/15/2025
4-5-6-1,12/17/2025
5-1-7-4,12/19/2025
3-2-0-1,12/22/2025
9-1-5-6,12/24/2025
9-6-7-7,12/26/2025
5-2-1-2,12/29/2025
1-3-2-4,12/31/2025
7-0-5-0,01/02/2026
0-4-9-7,01/05/2026
1-2-8-5,01/07/2026
8-8-4-6,01/09/2026
1-3-2-4,01/12/2026
2-4-7-7,1/14/2026
2-3-3-6,1/16/2026
0-5-6-5,1/19/2026
8-7-6-1,1/21/2026
0-7-4-1,1/23/2026
5-2-8-6,1/26/2026
2-0-3-3,1/28/2026
2-8-8-3,1/30/2026
4-4-0-1,02/02/2026
2-6-3-4,02/04/2026
6-1-0-0,02/06/2026
8-7-5-0,02/09/2026
4-2-3-8,02/11/2026
2-3-2-8,2/13/2026
5-9-8-9,2/16/2026
6-7-6-5,2/18/2026
9-5-0-0,2/20/2026
6-4-4-6,2/23/2026
7-7-3-0,2/25/2026
8-7-1-0,2/27/2026
7-6-3-7,03/02/2026
2-3-5-4,03/04/2026
1-0-3-0,03/06/2026
2-8-8-3,03/09/2026
2-9-7-0,03/11/2026
9-6-1-5,3/13/2026
5-4-8-4,3/16/2026
5-5-6-4,3/18/2026
0-5-8-0,3/20/2026
4-1-4-4,3/23/2026
0-3-0-2,3/25/2026
9-5-7-6,3/27/2026
3-6-7-7,3/30/2026
7-5-0-2,04/01/2026
8-4-5-5,04/06/2026
3-1-6-1,04/08/2026
1-6-9-0,04/10/2026
6-6-0-7,4/13/2026
7-5-7-8,4/15/2026
8-9-3-3,4/17/2026
5-8-7-4,4/20/2026
3-7-9-1,4/22/2026
4-2-6-7,4/24/2026
4-6-4-7,4/27/2026
5-4-8-8,4/29/2026
7-2-6-9,05/01/2026
9-0-0-3,05/04/2026
0-9-2-6,05/06/2026
6-3-8-9,05/08/2026
6-5-1-6,05/11/2026
0-9-9-4,5/13/2026
9-1-9-3,5/15/2026
1-1-1-2,5/18/2026
7-3-0-8,5/20/2026
1-7-0-0,5/22/2026
1-9-5-7,5/25/2026
4-8-6-0,5/27/2026
6-1-2-2,5/29/2026
2-0-4-6,06/01/2026
3-4-0-9,06/03/2026
2-7-9-5,06/05/2026
5-0-3-5,06/08/2026
7-2-7-4,06/10/2026
4-0-3-3,06/12/2026
5-8-0-8,6/15/2026
5-5-6-6,6/17/2026
0-3-8-0,6/19/2026
0-9-2-3,6/22/2026
2-5-5-9,6/24/2026
0-4-0-7,6/26/2026
0-4-1-3,6/29/2026
7-0-5-8,07/01/2026
9-0-0-5,07/03/2026
1-0-0-8,07/06/2026
6-0-1-8,07/08/2026
5-3-9-0,07/10/2026
8-9-1-1,7/13/2026
1-5-9-0,7/15/2026
2-0-7-7,7/17/2026
3-7-0-8,7/20/2026
